SKTRIMS,25.2,25.4,25,25.2,25.2,0,107,1.443,57,231

SONALIANSH,439,439,421.7,428.4,430.3,8.7,145,2.874,6,758

SONALILIFE,53.6,55.4,53.1,53.6,53.2,0.4,390,10.675,195,884

SONALIPAPR,544.1,552.9,543,544.1,554,-9.9,807,26.983,49,605

SONARBAINS,50.9,50.9,46,50.4,46.3,4.6,704,20.74,416,318

SONARGAON,34.5,34.9,31.7,34.5,31.9,2.6,1,612,62.488,1,857,396

SOUTHEASTB,14.6,15.1,14.6,14.6,14.7,-0.1,389,32.177,2,201,469

