BPPL,32.6,33,32.3,32.6,32.6,0,297,7.215,221,393

BRACBANK,41.1,41.6,41,41.1,41.4,-0.3,417,19.922,483,789

BSC,115.7,117.5,115.7,115.7,118,-2.3,885,57.501,496,334

BSCCL,217.4,218,214.1,217.4,214.9,2.5,362,28.811,133,400

BSRMLTD,99.1,99.3,97.9,99.1,98.2,0.9,156,4.399,44,609

BSRMSTEEL,67.2,68.3,66.9,67.2,67.5,-0.3,241,10.58,157,540

BXPHARMA,165.4,166.9,161,165.4,162.7,2.7,1,449,136.788,827,422

BXSYNTH,0,0,0,8.4,8.4,--,0,0,0

CAPMBDBLMF,9.7,9.8,9.4,9.7,9.5,0.2,146,4.779,490,353

CAPMIBBLMF,13.5,13.6,12.9,13.4,13,0.5,171,2.703,203,499

CENTRALINS,43.9,44.9,42,43.9,42.6,1.3,211,3.157,71,924

CENTRALPHL,13.2,13.4,13.1,13.2,13.3,-0.1,239,5.979,452,971

CITYBANK,23.8,23.9,23.3,23.7,23.4,0.4,316,19.445,820,959

CITYGENINS,29.6,29.9,27.5,29.6,27.4,2.2,866,18.293,626,433

CNATEX,9.7,9.8,9.7,9.7,9.8,-0.1,131,4.014,412,342

CONFIDCEM,103.6,106,102.9,103.7,103.7,-0.1,155,4.204,40,705

CONTININS,37.2,38.3,36,37.2,36.4,0.8,377,7.431,198,646

COPPERTECH,37.8,38.3,37.5,37.8,38.1,-0.3,444,16.788,444,031

CROWNCEMNT,66,66.6,65.3,65.9,66.3,-0.3,32,0.238,3,609

CRYSTALINS,38.5,39.5,37.5,38.5,37.5,1,179,3.063,79,081

CVOPRL,191,194.5,187.9,191,191.6,-0.6,741,23.28,122,290

DACCADYE,17.8,18.2,17.7,17.8,17.9,-0.1,358,8.407,469,811

DAFODILCOM,72.4,72.9,69,72.4,69.4,3,77,1.668,23,193

DBH,62.1,63.1,62,62.2,62.3,-0.2,106,1.587,25,519

DBH1STMF,7.2,7.4,7.2,7.2,7.2,0,41,0.701,96,216

DELTALIFE,118.6,122.5,117.5,118.6,119.8,-1.2,1,186,39.59,332,505

DELTASPINN,8.3,8.4,8.2,8.3,8.3,0,260,4.728,573,771

DESCO,36.5,37.2,36.5,36.5,36.8,-0.3,39,0.511,13,843

DESHBANDHU,17.8,17.9,17.6,17.8,17.9,-0.1,208,4.245,239,166

DGIC,32,33,30.5,32,30.6,1.4,305,9.224,288,263

DHAKABANK,13.5,13.7,13.3,13.4,13.5,0,66,2.808,209,536

DHAKAINS,55.7,57,53.2,55.7,54,1.7,330,6.125,109,342

DOMINAGE,21,21.5,20.9,21,21.3,-0.3,142,2.678,127,429

DOREENPWR,77.1,77.9,76.7,77.1,77.6,-0.5,335,22.61,293,313

DSHGARME,152.3,154.9,151.9,152.3,154.9,-2.6,166,2.467,16,214

DSSL,18.6,18.8,18.3,18.6,18.4,0.2,892,49.525,2,670,750

DULAMIACOT,54.2,55.9,54,54.2,55,-0.8,8,0.028,522

DUTCHBANGL,66,66.4,64.9,65.6,66.1,-0.1,124,2.908,44,544

EASTERNINS,60.9,61.9,57.5,60.5,58.5,2.4,837,21.495,357,914

EASTLAND,30.4,30.7,29,30.4,28.5,1.9,444,17.777,591,570

EASTRNLUB,1,530,1,531,1,486.7,1,516.5,1,503.4,26.6,517,5.034,3,335

EBL,33.4,33.6,33.3,33.4,33.4,0,134,7.369,220,554

EBL1STMF,7.2,7.2,7,7,7,0.2,20,0.916,130,088

EBLNRBMF,6.3,6.4,6.2,6.3,6.3,0,23,0.894,141,904

ECABLES,125.9,128,125.1,125.9,127.6,-1.7,68,0.698,5,552

EGEN,47.6,47.7,46.9,47.1,47.4,0.2,53,1.643,34,694

EHL,56.9,58,56.8,56.9,57.9,-1,627,32.076,562,063

EIL,27.6,28,26,27.6,25.8,1.8,561,12.535,458,652

EMERALDOIL,36.9,37.4,36.7,36.9,37.4,-0.5,622,27.383,744,907

ENVOYTEX,45.1,45.3,43.8,44.6,44.5,0.6,199,8.424,189,412

EPGL,38,38.2,37,38,36.9,1.1,387,7.886,209,940

ESQUIRENIT,35.3,35.3,34.2,34.9,34.1,1.2,231,9.259,266,602

ETL,9.3,9.5,9.3,9.4,9.4,-0.1,57,0.874,93,082

EXIM1STMF,6,6,5.9,6,6,0,88,3.052,509,641

EXIMBANK,11.5,11.5,11.5,11.5,11.7,-0.2,125,3.329,289,437

FAMILYTEX,4.9,4.9,4.9,4.9,4.8,0.1,21,0.417,85,000

FARCHEM,11.4,11.5,11.3,11.3,11.5,-0.1,294,7.61,670,542

FAREASTFIN,5.3,5.4,5.2,5.3,5.3,0,25,0.198,37,548

FAREASTLIF,83.9,87,82.7,83.9,83.6,0.3,354,12.93,155,046

FASFIN,5.3,5.3,5.1,5.2,5.2,0.1,145,3.593,692,534

FBFIF,5.1,5.2,5.1,5.1,5.2,-0.1,48,0.968,187,617

FEDERALINS,28.5,29.4,27.5,28.5,27.2,1.3,350,5.11,179,328

FEKDIL,17.9,18,17.6,17.7,17.8,0.1,115,4.726,266,400

FINEFOODS,42.1,43,42,42.2,42.8,-0.7,130,1.738,41,050

FIRSTFIN,5.6,5.6,5.5,5.6,5.6,0,15,0.052,9,313

FIRSTSBANK,10.6,10.7,10.5,10.6,10.6,0,373,12.857,1,211,347

FORTUNE,105.9,108.6,105.6,105.9,107.7,-1.8,872,31.201,293,169

FUWANGCER,18.3,18.5,17.9,18.3,18.2,0.1,1,212,46.521,2,556,716
